id,trip_id,route_id,direction_id,lat,lon,current_stop_sequence,timestamp,stop_id
VE_C21530,0002_3_501,10014,0,35.707672119140625,139.2970428466797,22,2024-12-30 19:09:20,1860_1
VE_A21926,0001_3_2229,10009,1,35.702632904052734,139.31234741210938,7,2024-12-30 19:08:31,1780_10
VE_A10906,0001_3_845,10009,1,35.657169342041016,139.3394012451172,20,2024-12-30 19:09:04,390_0
VE_A22007,0001_3_798,10009,0,35.66352844238281,139.33984375,5,2024-12-30 19:10:05,360_2
VE_C21530,0002_3_501,10014,0,35.708831787109375,139.29312133789062,22,2024-12-30 19:10:20,1860_1
VE_A21926,0001_3_2229,10009,1,35.69868850708008,139.32119750976562,9,2024-12-30 19:10:17,1760_10
VE_A10906,0001_3_845,10009,1,35.65717315673828,139.3394012451172,21,2024-12-30 19:09:40,10_0
VE_A22007,0001_3_798,10009,0,35.66642761230469,139.3409423828125,6,2024-12-30 19:10:51,927_1
VE_C21530,0002_3_501,10014,0,35.70953750610352,139.29066467285156,23,2024-12-30 19:10:42,8810_10
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:10:54,10_4
VE_A21926,0001_3_2229,10009,1,35.69777297973633,139.32406616210938,9,2024-12-30 19:11:17,1760_10
VE_A22007,0001_3_798,10009,0,35.6675910949707,139.3411407470703,6,2024-12-30 19:11:51,927_1
VE_C21530,0002_3_501,10014,0,35.71209716796875,139.29205322265625,23,2024-12-30 19:11:42,8810_10
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:11:54,10_4
VE_A21926,0001_3_2229,10009,1,35.69734573364258,139.3251495361328,10,2024-12-30 19:11:39,1750_10
VE_A22007,0001_3_798,10009,0,35.6675910949707,139.3411407470703,6,2024-12-30 19:12:51,927_1
VE_C21530,0002_3_501,10014,0,35.71210861206055,139.29261779785156,24,2024-12-30 19:13:09,1870_2
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:12:54,10_4
VE_A21926,0001_3_2229,10009,1,35.69382858276367,139.33160400390625,12,2024-12-30 19:13:20,930_10
VE_A22007,0001_3_798,10009,0,35.68046188354492,139.33932495117188,6,2024-12-30 19:13:51,927_1
VE_C21530,0002_3_501,10014,0,35.71284866333008,139.2899627685547,24,2024-12-30 19:14:09,1870_2
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:13:54,10_4
VE_A21926,0001_3_2229,10009,1,35.69194030761719,139.3347625732422,13,2024-12-30 19:14:32,931_10
VE_A22007,0001_3_798,10009,0,35.68282699584961,139.33900451660156,7,2024-12-30 19:14:44,928_1
VE_C21530,0002_3_501,10014,0,35.71284866333008,139.2899627685547,24,2024-12-30 19:14:09,1870_2
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:14:54,10_4
VE_A21926,0001_3_2229,10009,1,35.69194030761719,139.3347625732422,13,2024-12-30 19:14:32,931_10
VE_A22007,0001_3_798,10009,0,35.68600845336914,139.34060668945312,7,2024-12-30 19:15:44,928_1
VE_C21530,0002_3_501,10014,0,35.71537780761719,139.28407287597656,25,2024-12-30 19:15:43,3360_1
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:15:54,10_4
VE_A21926,0001_3_2229,10009,1,35.692012786865234,139.33450317382812,13,2024-12-30 19:15:32,931_10
VE_A22007,0001_3_798,10009,0,35.68783187866211,139.33700561523438,9,2024-12-30 19:16:49,931_1
VE_C21530,0002_3_501,10014,0,35.7200813293457,139.28628540039062,25,2024-12-30 19:17:07,3360_1
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:16:54,10_4
VE_A21926,0001_3_2229,10009,1,35.69028091430664,139.332763671875,13,2024-12-30 19:16:32,931_10
VE_A22007,0001_3_798,10009,0,35.689422607421875,139.33377075195312,9,2024-12-30 19:18:09,931_1
VE_C21530,0002_3_501,10014,0,35.72213363647461,139.2869110107422,27,2024-12-30 19:17:48,3340_1
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:17:54,10_4
VE_A21926,0001_3_2229,10009,1,35.68906021118164,139.334716796875,14,2024-12-30 19:17:49,929_10
VE_A22007,0001_3_798,10009,0,35.691162109375,139.33360290527344,10,2024-12-30 19:19:10,930_1
VE_C21530,0002_3_501,10014,0,35.727081298828125,139.2883758544922,27,2024-12-30 19:19:32,3340_1
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:18:54,10_4
VE_A21926,0001_3_2229,10009,1,35.68629455566406,139.3404998779297,15,2024-12-30 19:19:12,928_10
VE_A22007,0001_3_798,10009,0,35.69229888916016,139.3339080810547,11,2024-12-30 19:20:17,1740_1
VE_C21530,0002_3_501,10014,0,35.727081298828125,139.2883758544922,28,2024-12-30 19:20:32,4000_0
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:19:54,10_4
VE_A21926,0001_3_2229,10009,1,35.68318557739258,139.33929443359375,17,2024-12-30 19:20:13,360_10
VE_A22007,0001_3_798,10009,0,35.69538497924805,139.3290252685547,13,2024-12-30 19:21:10,1760_1
VE_C21530,0002_3_501,10014,0,35.7271614074707,139.28842163085938,28,2024-12-30 19:21:12,4000_0
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:20:55,10_4
VE_A21926,0001_3_2229,10009,1,35.68318557739258,139.33929443359375,17,2024-12-30 19:21:13,360_10
VE_A22007,0001_3_798,10009,0,35.697269439697266,139.32521057128906,14,2024-12-30 19:22:03,1770_1
VE_C21530,0002_3_501,10014,0,35.72850036621094,139.28912353515625,28,2024-12-30 19:22:12,4000_0
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:21:55,10_4
VE_A21926,0001_3_2229,10009,1,35.68318557739258,139.33929443359375,17,2024-12-30 19:22:13,360_10
VE_A22007,0001_3_798,10009,0,35.698768615722656,139.32098388671875,15,2024-12-30 19:23:14,1780_1
VE_C21530,0002_3_501,10014,0,35.728790283203125,139.28802490234375,28,2024-12-30 19:23:12,4000_0
VE_A10912,0001_3_799,10009,0,35.65751647949219,139.34408569335938,1,2024-12-30 19:23:45,10_4
VE_A21926,0001_3_2229,10009,1,35.66661071777344,139.3411407470703,17,2024-12-30 19:23:42,360_10
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:24:50,4000_2
VE_A22007,0001_3_798,10009,0,35.700531005859375,139.3175811767578,16,2024-12-30 19:24:05,1790_1
VE_A10912,0001_3_799,10009,0,35.65796661376953,139.34347534179688,2,2024-12-30 19:24:50,390_12
VE_A21926,0001_3_2229,10009,1,35.663578033447266,139.3399200439453,18,2024-12-30 19:24:51,370_10
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:25:50,4000_2
VE_A22007,0001_3_798,10009,0,35.704341888427734,139.3090362548828,18,2024-12-30 19:25:27,1810_1
VE_A11535,0001_3_847,10009,1,35.70736312866211,139.29623413085938,1,2024-12-30 19:25:36,1850_10
VE_A10912,0001_3_799,10009,0,35.657649993896484,139.34237670898438,2,2024-12-30 19:25:35,390_12
VE_A21926,0001_3_2229,10009,1,35.66265869140625,139.3396453857422,19,2024-12-30 19:25:12,381_10
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:26:50,4000_2
VE_A22007,0001_3_798,10009,0,35.70586013793945,139.30410766601562,19,2024-12-30 19:26:25,1830_1
VE_A11535,0001_3_847,10009,1,35.706825256347656,139.30068969726562,3,2024-12-30 19:26:30,1830_10
VE_A10912,0001_3_799,10009,0,35.65675354003906,139.33935546875,2,2024-12-30 19:26:45,390_12
VE_A21926,0001_3_2229,10009,1,35.659332275390625,139.33946228027344,20,2024-12-30 19:26:40,390_0
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:27:50,4000_2
VE_A22007,0001_3_798,10009,0,35.70677947998047,139.30081176757812,21,2024-12-30 19:27:38,1850_0
VE_A11535,0001_3_847,10009,1,35.70436096191406,139.30897521972656,6,2024-12-30 19:27:46,1790_10
VE_A10912,0001_3_799,10009,0,35.65742111206055,139.33937072753906,3,2024-12-30 19:27:44,381_1
VE_A21926,0001_3_2229,10009,1,35.656768798828125,139.3396453857422,21,2024-12-30 19:27:55,10_0
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:28:50,4000_2
VE_A11535,0001_3_847,10009,1,35.70260238647461,139.31236267089844,7,2024-12-30 19:28:15,1780_10
VE_A10912,0001_3_799,10009,0,35.65945816040039,139.33958435058594,3,2024-12-30 19:28:44,381_1
VE_A21926,0001_3_2229,10009,1,35.65745544433594,139.34158325195312,21,2024-12-30 19:28:55,10_0
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:29:56,4000_2
VE_A11535,0001_3_847,10009,1,35.70006561279297,139.31851196289062,8,2024-12-30 19:29:58,1770_10
